,x
1991-01-31,164
1991-02-28,148
1991-03-31,152
1991-04-30,144
1991-05-31,155
1991-06-30,125
1991-07-31,153
1991-08-31,146
1991-09-30,138
1991-10-31,190
1991-11-30,192
1991-12-31,192
1992-01-31,147
1992-02-29,133
1992-03-31,163
1992-04-30,150
1992-05-31,129
1992-06-30,131
1992-07-31,145
1992-08-31,137
1992-09-30,138
1992-10-31,168
1992-11-30,176
1992-12-31,188
1993-01-31,139
1993-02-28,143
1993-03-31,150
1993-04-30,154
1993-05-31,137
1993-06-30,129
1993-07-31,128
1993-08-31,140
1993-09-30,143
1993-10-31,151
1993-11-30,177
1993-12-31,184
1994-01-31,151
1994-02-28,134
1994-03-31,164
1994-04-30,126
1994-05-31,131
1994-06-30,125
1994-07-31,127
1994-08-31,143
1994-09-30,143
1994-10-31,160
1994-11-30,190
1994-12-31,182
1995-01-31,138
1995-02-28,136
1995-03-31,152
1995-04-30,127
1995-05-31,151
1995-06-30,130
1995-07-31,119
1995-08-31,153
