"","x"
"1",1.4306
"2",1.3059
"3",1.4022
"4",1.1699
"5",1.1161
"6",1.0113
"7",0.966
"8",0.9773
"9",1.0311
"10",1.2521
"11",1.4419
"12",1.5637
"13",1.745
"14",1.5835
"15",1.677
"16",1.5155
"17",1.4051
"18",1.2464
"19",1.2238
"20",1.2917
"21",1.3541
"22",1.5552
"23",1.7648
"24",2.2549
"25",2.4164
"26",2.3484
"27",2.3852
"28",2.0651
"29",2.0594
"30",1.9263
"31",1.9631
"32",2.0396
"33",2.1104
"34",2.3427
"35",2.422
"36",2.8554
"37",3.0566
"38",2.6798
"39",2.8101
"40",2.5863
"41",2.4674
"42",2.2407
"43",2.2662
"44",2.2889
"45",2.4305
"46",2.6345
"47",2.9716
"48",3.2577
"49",3.4872
"50",3.2322
"51",3.2464
"52",3.1104
"53",2.8838
"54",2.592
"55",2.6996
"56",2.796
"57",2.796
"58",3.0736
"59",3.3399
"60",4.0565
"61",3.9007
"62",3.4787
"63",3.7563
"64",3.3172
"65",3.2549
"66",3.0311
"67",2.8186
"68",3.0792
"69",3.1217
"70",3.3937
"71",3.6911
"72",4.099
"73",4.3342
"74",3.6911
"75",3.9347
"76",3.5976
"77",3.4985
"78",3.201
"79",3.1812
"80",3.2095
"81",3.1019
"82",3.7704
"83",4.15
"84",4.3483
"85",4.5211
"86",3.9546
"87",4.3087
"88",3.9829
"89",3.9121
"90",3.4418
"91",3.4588
"92",3.6855
"93",3.6061
"94",4.0509
"95",4.2888
"96",4.8894
"97",4.9942
"98",4.6401
"99",4.7761
"100",4.3795
"101",4.116
"102",3.9546
"103",3.8073
"104",4.1217
"105",4.0622
"106",4.7053
"107",5.0848
"108",5.6457
"109",5.7194
"110",5.218
"111",5.6344
"112",5.252
"113",4.7251
"114",4.2265
"115",4.4531
"116",4.7619
"117",4.9404
"118",5.4135
"119",5.8582
"120",6.1981
"121",6.4474
"122",5.8412
"123",6.4701
"124",6.065
"125",5.7449
"126",4.9942
"127",5.1443
"128",5.388
"129",5.7222
"130",6.1216
"131",6.623
"132",7.2718
"133",7.1953
"134",6.3624
"135",7.0735
"136",6.4163
"137",6.167
"138",5.5069
"139",5.8837
"140",5.9149
"141",6.0962
"142",6.5239
"143",6.7958
"144",7.6995
"145",7.8751
"146",7.6768
"147",7.8581
"148",7.3596
"149",7.1273
"150",6.8497
"151",6.963
"152",7.0735
"153",7.3567
"154",8.1669
"155",8.3142
"156",8.9686
"157",9.0224
"158",8.1811
"159",8.759
"160",8.2009
"161",7.725
"162",7.3397
"163",7.5012
"164",7.7788
"165",7.7562
"166",8.5947
"167",8.8666
"168",9.1641
"169",9.0422
"170",8.0621
"171",8.8666
"172",8.2462
"173",7.8751
"174",7.3284
"175",7.4672
"176",7.7618
"177",7.2151
"178",8.1159
"179",8.2717
"180",8.8383
"181",8.8185
"182",7.9176
"183",8.8751
"184",8.1839
"185",7.776
"186",7.4927
"187",7.8808
"188",7.5437
"189",7.3681
"190",8.2009
"191",8.4785
"192",9.0394
"193",9.0394
"194",8.4332
"195",8.9289
"196",8.2406
"197",7.9828
"198",7.5324
"199",7.4417
"200",7.2774
"201",7.065
"202",8.3284
"203",8.5947
"204",9.2094
"205",9.4275
"206",8.436
"207",9.3907
"208",8.5975
"209",8.4672
"210",7.6287
"211",7.4927
"212",7.7193
"213",7.8751
"214",8.4757
"215",9.0111
"216",9.9147
"217",9.8836
"218",8.5493
"219",8.9176
"220",8.2066
"221",7.6315
"222",6.9885
"223",7.3794
"224",7.5154
"225",7.2094
"226",8.1301
"227",9.1414
"228",10.079
"229",10.3861
"230",9.2797
"231",9.3695
"232",9.0704
"233",8.4779
"234",7.8664
"235",7.9503
"236",7.7068
"237",7.2012
"238",8.8276
"239",9.2797
"240",10.1472
"241",10.4667
"242",8.8772
"243",9.28
"244",7.7422
"245",7.634
"246",6.8241
"247",6.96
"248",7.0926
"249",6.8148
"250",8.0561
"251",8.9385
"252",10.0549
"253",9.7207
"254",8.834
"255",8.8871
"256",8.0279
"257",7.309
"258",7.0312
"259",7.1871
"260",6.944
"261",7.0846
"262",8.2945
"263",8.6364
"264",9.8766
"265",10.5737
"266",9.1005
"267",9.1274
"268",8.1889
"269",7.3363
"270",6.9345
"271",6.8699
"272",6.8529
"273",6.8667
"274",7.9197
"275",9.0446
"276",9.9246
"277",9.8926
"278",8.5378
"279",8.4436
"280",7.6013
"281",6.9464
"282",6.4744
"283",6.5638
"284",6.5996
"285",7.0979
"286",7.8357
"287",8.7917
"288",10.7124
"289",10.5179
"290",8.62
"291",8.9368
"292",7.9969
"293",7.692
"294",6.953
"295",7.2329
"296",7.2987
"297",7.3991
"298",8.5917
"299",9.7111
"300",10.7278
"301",10.8878
"302",10.109
"303",10.0308
"304",8.7854
"305",8.1684
"306",7.4509
"307",7.3972
"308",7.46
"309",7.9639
"310",8.9585
"311",10.1481
"312",11.3796
"313",11.0386
"314",9.7654
"315",9.3167
"316",8.1464
"317",7.8331
"318",7.3008
"319",7.4569
"320",7.4211
"321",7.7622
"322",9.048
"323",9.9553
"324",10.7079
"325",10.8455
"326",9.3094
"327",10.102
"328",8.9196
"329",8.315
"330",7.4219
"331",7.9237
"332",8.6236
"333",8.5844
"334",10.3569
"335",11.0081
"336",12.1456
"337",12.6596
"338",11.4703
"339",11.32
"340",10.2638
"341",9.7286
"342",8.9138
"343",9.8172
"344",9.9253
"345",9.8777
"346",10.867
"347",11.5952
"348",12.4078
"349",12.3457
"350",11.5028
"351",12.1695
"352",11.2916
"353",10.5054
"354",9.854
"355",10.4084
"356",10.3725
"357",10.4122
"358",11.3239
"359",11.6377
"360",12.908
"361",12.508
"362",11.1611
"363",11.5871
"364",11.1003
"365",10.9631
"366",10.1271
"367",10.5513
"368",10.4668
"369",10.271
"370",11.992
"371",12.135
"372",13.4248
"373",13.25
"374",11.341
"375",12.4856
"376",11.9009
"377",11.3834
"378",10.8104
"379",10.6474
"380",10.5999
"381",10.7973
"382",12.4401
"383",12.9722
"384",13.8099
"385",13.2705
"386",12.7163
"387",13.1994
"388",12.7235
"389",12.5501
"390",11.5166
"391",12.1364
"392",12.6521
"393",12.3929
"394",13.382
"395",14.0785
"396",14.7586
"397",14.3785
"398",13.3347
"399",14.7308
"400",14.2616
"401",13.2363
"402",13.0995
"403",14.0387
"404",13.9153
"405",13.4265
"406",14.4461
"407",14.5121
"408",15.2108
"409",15.8034
"410",14.1257
"411",15.3173
"412",14.7663
"413",14.7614
"414",14.3623
"415",14.8726
"416",15.1548
"417",14.3091
"418",15.4411
"419",15.7134
"420",16.4601
"421",16.7395
"422",14.7929
"423",16.5547
"424",15.922
"425",15.6568
"426",15.0057
"427",15.3499
"428",15.5324
"429",15.0938
"430",16.2678
"431",16.1945
"432",16.9076
"433",17.1467
"434",15.6931
"435",16.7081
"436",16.0887
"437",16.4114
"438",15.367
"439",16.1433
"440",16.0633
"441",15.519
"442",16.2804
"443",16.2668
"444",17.2538
"445",17.2706
"446",15.227
"447",16.6409
"448",16.6364
"449",16.5376
"450",15.5824
"451",16.3594
"452",16.352
"453",16.3419
"454",16.78
"455",16.3885
"456",17.3255
"457",17.9166
"458",15.8428
"459",17.4344
"460",16.7057
"461",16.7056
"462",15.7834
"463",16.7918
"464",16.7767
"465",16.3921
"466",17.1515
"467",17.0122
"468",17.8951
"469",18.4914
"470",16.2204
"471",17.7152
"472",17.2472
"473",17.6876
"474",16.241
